"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.234833326E-3,2.026186523E0,7.465575256E0,6.354585571E0,1.001104408E1
8.709166665E-3,1.898801422E0,7.384593658E0,6.270310822E0,9.871902964E0
1.865316665E-2,1.799557800E0,7.350614319E0,6.224356384E0,9.798599468E0
2.859716665E-2,1.933080139E0,7.379204865E0,6.446045380E0,9.987039816E0
3.854116664E-2,2.139800262E0,7.510631561E0,6.404132538E0,1.009956658E1
4.848516663E-2,2.564916229E0,7.707771606E0,6.199058990E0,1.021845736E1
5.842916667E-2,2.757715302E0,7.572453003E0,6.388115845E0,1.028372803E1
6.837316666E-2,2.711760864E0,6.989415436E0,6.310577087E0,9.799436632E0
7.831716666E-2,4.124073944E0,7.376360779E0,5.490582275E0,1.007795505E1
8.826116665E-2,5.883964233E0,8.542286224E0,5.216801605E0,1.161062910E1
9.820416663E-2,5.467530212E0,8.812923431E0,6.548432465E0,1.226554009E1
1.081481667E-1,4.192032623E0,8.299491119E0,9.441316681E0,1.325115659E1
1.180921667E-1,1.251697083E0,7.952512665E0,1.285975800E1,1.517176914E1
1.280361667E-1,-2.441572723E0,7.104226685E0,1.394125900E1,1.583635112E1
1.379801666E-1,7.409591675E-2,7.016958160E0,1.367630997E1,1.537155315E1
1.479241666E-1,-3.559298401E0,6.570137329E0,1.016251694E1,1.261396290E1
1.578681666E-1,-3.313659210E0,5.615871735E0,6.435267792E0,9.161387682E0
1.678121667E-1,-1.274300079E0,6.355184326E0,6.185736694E0,8.959662213E0
1.777561667E-1,-9.457333374E-1,7.044201508E0,6.020330658E0,9.314481610E0
1.877001667E-1,-1.104852448E0,6.865622864E0,6.288872223E0,9.375894095E0
1.976441666E-1,-7.420069885E-1,6.349945221E0,6.588099976E0,9.180165574E0
2.075881666E-1,8.878038025E-1,5.872438202E0,6.652316437E0,8.917793449E0
2.175321666E-1,4.892875214E0,5.578898621E0,4.452191620E0,8.653689843E0
2.274751667E-1,8.752748566E0,8.089328156E0,-7.096742249E-1,1.193949224E1
2.374191667E-1,5.494773560E0,9.947114868E0,-3.577560425E-2,1.136393024E1
2.473631667E-1,-4.575235748E0,8.921148376E0,5.050497437E0,1.122618345E1
2.573071666E-1,-8.174051971E0,5.971831512E0,7.007378082E0,1.231183353E1
2.672511666E-1,-6.277944946E0,5.142406311E0,7.646399231E0,1.115008326E1
2.771951666E-1,-2.044149170E0,9.066496124E0,8.083490295E0,1.231757741E1
2.871391667E-1,-4.010160828E-1,9.620045013E0,9.466763763E0,1.350280327E1
2.970831667E-1,7.619155884E-2,9.717342682E0,1.067265610E1,1.443392331E1
3.070271667E-1,-5.210664368E-1,9.648934937E0,1.053808594E1,1.429771698E1
3.169711666E-1,-1.844314728E0,8.915759583E0,9.081464996E0,1.285944292E1
3.269151666E-1,-2.523602142E0,7.886649628E0,8.485853577E0,1.185653917E1
3.368591666E-1,-2.755320282E0,7.580087128E0,7.809559937E0,1.122669752E1
3.468031667E-1,-3.433260498E0,7.749085693E0,6.984326019E0,1.098255055E1
3.567471667E-1,-4.275409241E0,8.681197357E0,6.165229340E0,1.147398643E1
3.666901666E-1,-4.379592590E0,9.949060822E0,3.743565216E0,1.149690928E1
3.766341666E-1,-4.431235199E0,1.014859589E1,1.805695038E0,1.122008816E1
