"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.352362498E-2,-1.256038055E0,3.887865143E0,8.522078247E0,9.450870045E0
2.346883330E-2,-1.529219971E0,3.797303467E0,8.592132568E0,9.517498065E0
3.341383330E-2,-1.835034027E0,3.703897705E0,8.851543121E0,9.769136283E0
4.335983330E-2,-1.825753326E0,3.689976654E0,9.155261536E0,1.003833237E1
5.330483330E-2,-1.681603088E0,3.899840240E0,9.045988770E0,9.993320553E0
6.324983330E-2,-1.415007477E0,3.999383240E0,9.161249084E0,1.009583069E1
7.319583331E-2,-1.236428833E0,3.995341644E0,9.422904968E0,1.030934766E1
8.314083330E-2,-1.090182953E0,4.061803436E0,9.605375519E0,1.048570383E1
9.308583330E-2,-6.923103333E-1,4.233496399E0,9.855804749E0,1.074889169E1
1.030308333E-1,-6.358776855E-1,4.154909821E0,1.005369324E1,1.089698875E1
1.129768333E-1,-7.515870667E-1,4.111649780E0,1.025712021E1,1.107605805E1
1.229218333E-1,-9.406439209E-1,4.178410950E0,1.021715332E1,1.107854463E1
1.328668333E-1,-1.084644470E0,4.276756439E0,9.998907166E0,1.092910078E1
1.428128333E-1,-1.162332916E0,4.500391388E0,9.694589996E0,1.075126112E1
1.527578333E-1,-1.332528992E0,4.628075867E0,9.373657379E0,1.053850902E1
1.627038333E-1,-1.550326080E0,4.634512482E0,8.995843048E0,1.023754898E1
1.726488333E-1,-1.562151489E0,4.702471161E0,8.546327820E0,9.878930686E0
1.825938333E-1,-1.503174133E0,4.708758087E0,8.240214386E0,9.609009747E0
1.925388333E-1,-1.370400238E0,4.673281860E0,8.141270142E0,9.486719121E0
2.024848333E-1,-1.225501556E0,4.543950806E0,8.189769287E0,9.445721993E0
2.124298333E-1,-9.560618591E-1,4.432432709E0,8.369246063E0,9.518655034E0
2.223748333E-1,-7.661068726E-1,4.314477997E0,8.548273773E0,9.605968177E0
2.323208333E-1,-5.659730530E-1,4.218826904E0,8.679700470E0,9.667265704E0
2.422658333E-1,-3.662882996E-1,4.092040558E0,8.754395142E0,9.670491060E0
2.522108333E-1,-2.814147949E-1,3.943998413E0,8.803493042E0,9.650689484E0
2.621568333E-1,-1.859133911E-1,3.798201599E0,8.890761566E0,9.669877993E0
2.721018333E-1,-1.770817566E-1,3.680995331E0,9.010063477E0,9.734594415E0
2.820468333E-1,-1.257385254E-1,3.622616730E0,9.021589508E0,9.722563417E0
2.919928333E-1,-7.978408813E-2,3.575165405E0,8.800050201E0,9.498897658E0
3.019378333E-1,2.095642090E-2,3.492986298E0,8.416847076E0,9.112886873E0
3.118828333E-1,6.586303711E-2,3.430266724E0,8.065377960E0,8.764781194E0
3.218288333E-1,4.146377563E-2,3.438050537E0,7.707172852E0,8.439337895E0
3.317738333E-1,-1.369651794E-1,3.405268707E0,7.437433777E0,8.181077901E0
3.417188333E-1,-4.549040222E-1,3.417094116E0,7.523205414E0,8.275390599E0
3.516648333E-1,-6.015989685E-1,3.528013458E0,7.939639435E0,8.708999635E0
3.616098333E-1,-6.824308777E-1,3.551963654E0,8.360414429E0,9.109263808E0
3.715548333E-1,-6.649172974E-1,3.549718323E0,8.672216034E0,9.394144246E0
3.815008333E-1,-6.114784241E-1,3.610342255E0,8.832532654E0,9.561491000E0
3.914458333E-1,-6.116281128E-1,3.695664825E0,8.930728455E0,9.684520545E0
4.013908333E-1,-7.312294006E-1,3.800895996E0,8.962312775E0,9.762405292E0
4.113368333E-1,-9.234297180E-1,3.903283081E0,8.909173279E0,9.770450848E0
4.212818333E-1,-1.054856415E0,4.005520477E0,8.869056702E0,9.788620083E0
4.312268333E-1,-1.072968750E0,4.091142426E0,8.828341370E0,9.789194023E0
4.411718333E-1,-1.031055908E0,4.136348419E0,8.772507477E0,9.753427191E0
4.511178333E-1,-1.021326141E0,4.138743439E0,8.606203308E0,9.604115770E0
4.610628333E-1,-1.018631744E0,4.144431610E0,8.549022217E0,9.555087905E0
4.710078333E-1,-1.118623810E0,4.165088654E0,8.596323853E0,9.617487536E0
4.809538333E-1,-1.125958557E0,4.187691650E0,8.631351013E0,9.659439132E0
4.908988333E-1,-1.084195404E0,4.185146942E0,8.666078796E0,9.684619575E0
5.008438333E-1,-9.924362183E-1,4.135450287E0,8.797206116E0,9.771269834E0
5.107898333E-1,-9.268725586E-1,4.108805695E0,8.895701294E0,9.842503670E0
5.207348333E-1,-9.647438049E-1,4.117787018E0,8.982820129E0,9.928643312E0
